id,restaurant_name,reviewer_name,reviewer_text,rating,date_of_visit,location
0,PPUH Furgał,Ewelina Majak,"Pierwiastek Chemiczny gwiazda jedzenie słońce z krwi i kości postawić gospodarczy. Brać niech cebula odległość przybyć 7 niewolnik. Palić bardzo słaby.",None,2021-09-06,Piaseczno
1,Gabinety Krzywoń-Sajda S.A.,Julita Łapaj,"Uznawać ubranie bezpośrednio szeroki dwanaście sen strach. Rumunia dwadzieścia przyjechać malować mówić pająk. Bogactwo myśleć klasztor drobny struktura.",4,2020-02-10,Stalowa Wola
2,Fundacja Słowiak-Łuckiewicz Sp. z o.o.,Cyprian Janowiak,"Uderzyć wszelki słaby muzyka czuć. Handlowy chociaż zwyczaj świątynia życie. Zaraz odcinek miękki dzielnica prasa niedźwiedź pomieszczenie.",3,2022-12-30,Luboń
3,Szuta Sp.k.,Ignacy Baś,"Skłonność dokonywać potrzeba złożyć. Dzielnica kult poruszać się nazwa współczesny dużo przygotowywać.
Studia przyjść Austria czwarty wierzyć sukces. Białoruś epoka dużo wakacje.",4,2022-07-21,Sandomierz
4,Spółdzielnia Engler,Kazimierz Kurzyna,"Pełnić kiedyś umieszczać informacja gatunek wewnętrzny odpowiedni. Kwiat chcieć tylko biblioteka jednak nagle.",3,2021-02-12,Lubartów
5,Kopij S.A.,pan Borys Knych,"Dziki świeży ściana dyskusja utrzymywać. Muzyk św. ani. Owoc węgiel posiadać pojawiać się jeść.",3,2020-08-28,Chełm
6,Spółdzielnia Bugla,Karina Wolff,"Trochę sukces jakiś silny człowiek. Podobny dotyczyć pokój badać udać się lustro wyrób. Lina szpital piękny róg pismo szef.
Osoba czyli rolnik ponownie plac Ameryka. Dalej uczucie gleba.",2,2022-11-02,Dzierżoniów
7,Tokaj-Duniec Sp.j.,Norbert Majewicz,"Holandia port kupować powiedzieć robotnik utrzymywać. Wiersz różnica płakać okolica zysk wchodzić. Gorączka pewien mur kiedy. Ośrodek nazywać umieścić nagle forma jadalny autobus.",4,2021-08-21,Stalowa Wola
8,Fundacja Konat i syn s.c.,Eliza Więckiewicz,"Fakt południowy pozwalać krótki nazwisko statek żydowski. Wielka Brytania technika złożony całkiem urodziny nigdy. Ciepły żaba starać się stowarzyszenie większość.",4,2023-01-29,Luboń
9,Stowarzyszenie Tabisz-Łój Sp. z o.o. Sp.k.,Ernest Sędek,"Wspólnota wybitny białoruski kurs. Autobus naturalny publiczny prezent wy — wschodni. I wniosek cel mężczyzna amharski.",1,2023-08-04,Mielec
10,Kielich Sp.k.,pani Inga Radko,"Produkt pojawić się butelka tamten ćwiczenie. Przeprowadzać USA Indie obowiązek. Telefon oddział poczta odzież ładny.",4,2021-04-04,Piekary Śląskie
11,FPUH Leśna Sp.k.,Kamila Bodych,"Europejski rodzinny Piotr teatr.
Opisać wóz mieszkanka opłata. Uznawać fałszywy określać oddział ryż kaczka. Podstawa spadek potrzebować północny początek.",3,2020-11-22,Mikołów
12,FPUH Blaut,pani Roksana Hutnik,"Wciąż prawdziwy zakładać 9 żołnierz wybrzeże okoliczność. Zgadzać Się spać kolano święty drewno przerwa papieros wróg. Pan mieć na imię francuski przeciw radiowy.",1,2021-06-01,Piekary Śląskie
13,FPUH Blaut,Kazimierz Kurzyna,"Rozumieć chronić myśleć otworzyć dobro polityczny. Wino ponad właściwość wschodni staw związany zielony.",1,2023-08-03,Zabrze
14,PPUH Fikus-Balawender s.c.,Karina Wolff,"Pokonać badanie określenie biedny osiągnąć jeżeli żołnierz. Gazeta trochę świeży głupiec dziać się.
Choć letni kino. Taniec zachód za ta zwycięstwo żywność.",3,2020-03-27,Mielec
15,Fundacja Penkala,Cyprian Janowiak,"Kawałek należeć zajęcie igła dach. Znaczny delikatny lekarz rzymski.
Fałszywy 40 krótki bliski. Gazeta pełnić służyć czapka droga coraz dół odcień. Gdy postawa ponad łączyć robota.",5,2021-06-16,Lubartów
16,Marchlewicz-Jaskóła Sp. z o.o. Sp.k.,pan Wojciech Wasiuk,"Chwila dziura kura wpaść. Silny ciągle powstanie świątynia ubranie kąt. Mocno artystyczny samochodowy sposób szybki łatwy znów łódź.",4,2022-02-04,Krosno
17,Gabinety Bilewicz-Handzel Sp.j.,Przemysław Proch,"Artystyczny podstawowy lekki nad. Wkrótce pociąg obcy zbudować.
Trawa długo noc oś port bank napój. Pierwszy zawierać uważać.
Skrzydło spaść taki pierś koło. Mistrz następny szczególny szereg.",3,2022-10-09,Kalisz
18,Pietrak-Konieczek i syn s.c.,pani Inga Radko,"Łatwo patrzeć naturalny obserwować czasem zgoda rzadko.
Stolica wolno zająć piasek karta w. Gwałtowny graniczyć znaczny. Dziesięć historyczny dno informacja.",4,2022-03-20,Sandomierz
19,FPUH Leśna Sp.k.,Ernest Sędek,"Ciągnąć przyjechać kuchnia ósmy. Działalność poprzedni ciepły przynosić niechęć pojęcie.",1,2020-03-20,Jasło
20,PPUH Fikus-Balawender s.c.,Marcelina Szymańczyk,"Przedstawienie warstwa norma północ. Użytkownik taki bawić się niedziela miecz środkowy społeczeństwo.
Trudność ciąża pytać. Te klucz szybki dziesięć kapelusz gardło zbudować.",2,2021-09-29,Chełm
21,Bacik Sp. z o.o. Sp.k.,Cyprian Janowiak,"Strona kwestia ojciec wiadomość. Gniazdo wracać róg ten milion wróg podstawa.",5,2021-08-31,Brodnica
22,Skrobot-Bugno Sp.k.,pan Konrad Misztela,"Prąd skrzydło obrót średniowieczny. Oddać program charakterystyczny Izrael. Kościół dialekt ruch można sześć wieś.",1,2022-01-26,Skierniewice
23,Spółdzielnia Płodzień,Norbert Maciuszek,"Możliwość pomieszczenie widzieć ogród pszczoła wewnątrz pomagać. Olej kierunek polegać świat kolega wielkość ludowy zmienić. Matematyka październik szukać palić miasto także czynić but.",5,2023-09-14,Sanok
24,Macheta Sp.k.,Ernest Sędek,"Cały tracić dziecko bieda rasa bitwa Białoruś. Trochę np. żydowski różowy produkować.
Gospodarka prawy 900 żydowski wybrać świątynia. Siedziba po posiadać częściowo składać.",1,2021-05-12,Jarosław
25,Grupa Jakoniuk Sp.j.,Alan Hejna,"Rosyjski wziąć ośrodek odcinek związany filozofia.
Symbol żeby publiczny. Skutek obszar ludzki bilet odnosić się tkanina.",4,2022-02-15,Sandomierz
26,FPUH Behrendt-Ragan Sp. z o.o. Sp.k.,Cyprian Janowiak,"Jan czytać bogactwo przy powiedzieć. Warzywo dziki szybki muzyczny chyba św..
Złodziej siódmy pożar. Grecja twój umysł wybór 2 alkohol -. Charakter wydać pokazywać zwykły poduszka.",1,2020-11-20,Zabrze
27,Grupa Klepka,Kamila Bodych,"Zamiar bogini port własność złoty cierpienie położenie ubogi. Policjant ząb drużyna pracować pisać częściowo.
Ponownie klub wykonywanie zdolność. Uderzyć towar teoria.",4,2022-04-25,Jaworzno
28,Stowarzyszenie Borak,Norbert Majewicz,"Niski bok rzymski źródło z krwi i kości pracownik oznaczać. Ból mrówka pytanie. Odległość krok lekarz tytuł sowa trudno ludność.
Słońce minerał ocean gorący.",5,2021-05-09,Ostrołęka
29,FPUH Uziębło,pan Karol Gordon,"Piłka Nożna pod trudność mężczyzna obejmować pojemnik świątynia. Miejski fabryka pracownik niektóry spokój las. Instrument prostytutka studia potrafić żołnierz Australia w.",4,2021-05-18,Luboń
30,PPUH Haraburda,Marianna Kiliszek,"Gdzie gotowy szkoła potrawa szczególny porządek wkrótce. Napisać religijny mowa tekst umysł płakać oraz. Ta mięsień podać potem płynąć ciągnąć moment pierwszy.",2,2023-10-26,Jaworzno
